,要件,最終判断
2266,一次的対応を実施した後は、厚生労働省の指示に従い、原因の分析及び再発防止策を検討し、厚生労働省の承諾を得た上で再発防止策を実施すること。,その他
2267,本調達に係る業務の遂行における受注者内の社内教育や周知状況を含む情報セキュリティ対策の履行状況について、厚生労働省の求めに応じて情報セキュリティ対策履行報告書を提出すること。,その他
2268,本調達に係る業務の遂行において、受注者における情報セキュリティ対策の履行が不十分であると認められる場合には、受注者は、厚生労働省の求めに応じ、厚生労働省と協議の上、合意した情報セキュリティ対策を実施すること。,その他
2269,受注者が遵守すべき適用徴収システムのテスト要件は以下のとおりとする。,その他
2270,現行システム導入時のテストの実績については別紙0に示す応札者参加表明事業者に開示する資料のうち、主に「その他関係資料-ハードウェア導入関係資料」を参照すること。,その他
2271,導入する機器の設定完了後、本調達の要件を満たしていることを確認するための動作確認試験を実施すること。,その他
2272,動作確認に必要となる試験用機材、端末機器、物品、消耗品、什器等は受注者の負担において準備すること。,その他
2273,保守業務においても同様の対応を実施すること。,その他
2274,動作確認試験の開始に先立ち、試験項目、試験方法、試験条件等について記載した動作確認試験実施計画書を作成し、厚生労働省の承認を得ること。,その他
2275,納入するすべてのハードウェア及びソフトウェアにおいて、以下の動作確認を行うこと。,その他
2276,インフラストラクチャ詳細設計書及び作成した設定定義書に従って、正しく設定され、正常に動作すること。,その他
2277,設置先のlanに接続し、正常に使用できること。,その他
2278,厚生労働省及び全ての関連事業者と十分な打合せ等調整を行い、他システム側に悪影響を及ぼさずに実施できるように計画すること。,その他
2279,動作確認において問題が発生した場合、納入期日までに問題を解決し、動作確認試験を完了すること。,その他
2280,不具合が解消された後、再テストにより正常に動作することを確認すること。,その他
2281,動作確認試験の完了後、最新の検証環境及び本番環境のバックアップデータを取得すること。,その他
2282,取得したバックアップデータは厚生労働省が不要と判断した場合、速やかに消去すること。,その他
2283,消去に当たっては証跡を取得し、厚生労働省へ報告すること。,その他
2284,受注者が納入する機器の連携について、厚生労働省、次期システム関連事業者及びpjmo関係事業者からの要請に基づき、必要なテストを行うこと。,その他
2285,性能要件に記載した要件が達成されることの確認を動作確認試験の中に織り込むこと。,その他
2286,本要件定義書における移行とは平成0年度に予定しているシステム更改における次期基盤へのシステム全体の移行を指す。,その他
2287,この移行先のハードウェアは、システム更改用に調達するハードウェアである。,その他
2288,移行元の現行ハードウェア及びソフトウェア等に関しては、別紙0に示す応札者参加表明事業者に提供する資料のうち、主に「適用徴収システム関係資料rsシステム除く」及び「rsシステム関係資料」を参照すること。,その他
2289,移行の基本要件と各項目は以下に示す。,その他
2290,移行対象は、現行ハードウェア、ソフトウェア及びシステム移行に伴う各種機器サーバ、ネットワーク機器、端末等の設定情報の調整、初期セットアップとし、加えて職員への問合せ対応支援についても実施することとする。,その他
2291,次期システムの切替え時は、次期システムの本番稼働後に障害が発生した場合、現行システムに切戻しができるよう対応すること。,信頼性
2292,以下に運用要件を示す。,その他
2293,運用要件の詳細については、別紙0に示す応札者参加表明業者に開示する資料のうち、主に「その他関係資料-労働保険適用徴収システム運用保守要領」を参照すること。,その他
2294,運用における作業負荷を低減するため、契約後に厚生労働省が提供する設定情報等により、納入するハードウェア、ソフトウェアの起動、停止等の手順を自動化すること。,機能適合性
2295,電源投入から、オペレーティングシステムos、ミドルウェア及び業務アプリケーションの起動処理を正しい順序で実行し、自動的に業務開始可能な状態にすること。,機能適合性
2296,終了指示に従って、業務アプリケーション、ミドルウェア、osの終了処理及び機器の電源切断を正しい順序で実行し、自動的に電源切断状態にすること。,機能適合性
2297,バックアップ処理及びそれに伴い必要となる業務アプリケーションやソフトウェアの停止、再開処理を行うために必要なシェル等を提供すること。,その他
2298,運用事業者が不在となる夜間帯においては、夜間稼働中のサーバ事業場公開サーバ、電子申請関連サーバ等のハードウェア、ソフトウェア及びスケジュールジョブの状態のリモートにて監視を行い、障害を検知した際は、適切な対応を行うこと。,保守性
2299,導入した機器に対して、リモート監視を実施すること。,その他
2300,オンラインサービスに対して、外部からの攻撃によりコンテンツが改ざんされていないか0時間間隔で確認を実施すること。,その他
2301,データ管理については本調達の役務範囲外であるが、適用徴収システムの更改において、現行システムの運用要件を踏襲することとしており、ハードウェア構築に当たっての前提とすること。,その他
2302,現行システムのデータ管理要件の詳細については、別紙0に示す応札者参加表明業者に開示する資料のうち、主に「適用徴収システム関係資料rsシステム除く-ハードウェア関連資料」及び「rsシステム関係資料-ハードウェア関連資料」を参照すること。,その他
2303,受注者は、平成0年0月0日までに、システム切替え後の保守業務実施に必要な体制を整備すること。,その他
2304,機器の設置後においてはシステム切替え前であっても厚生労働省の求めに応じ必要な保守作業を実施すること。,その他
2305,保守計画書については、本要件定義書0を参照すること。,その他
2306,受注者の保守対象は、納入したハードウェア及びソフトウェア一式である。,その他
2307,他社の製品を納入する場合においても、受注者が責任を負うこと。,その他
2308,納入したハードウェア及びソフトウェアについては、地方拠点0都道府県においては平常時の保守要員の対応が開庁日の0時0分から0時ただし、業務繁忙期の0月から0月は、0時0分から0時、センター拠点においては平常時の保守要員の対応が開庁日の0時0分から0時ただし、業務繁忙期の0月から0月は、0時0分から0時まで可能であること。,その他
2309,重大障害等が発生し、厚生労働省が緊急と判断するときには、深夜、休日の対応も可能であること。,その他
2310,保守対象場所については、別紙0に示す応札者参加表明事業者に開示する資料のうち、主に「その他関係資料-ハードウェア導入関係資料」を参照すること。,その他
2311,予防保守等一部の業務の実施時間帯については、厚生労働省と協議の上、決定すること。,その他
2312,納入したハードウェア及びソフトウェアについての保守継続可能期間は契約期間以上であること。,その他
2313,受注者は、次期運用事業者又は更改ap事業者が実施する一次切分けの後、厚生労働省が別紙0において指定した時間内に障害の復旧を完了すること。,信頼性
2314,納入したハードウェア及びソフトウェアの保守については、受注者と厚生労働省との間でslaを締結する。,その他
2315,サービスレベル評価項目と要求水準については、別紙0を参照すること。,その他
2316,インシデントの原因究明を円滑に進めるために、厚生労働省からの協力要請、調査指示に速やかに従うこと。,その他
2317,インシデント対応の連絡、問合せについて、対応可能な体制を整備すること。,その他
2318,インシデント状況の調査、ハードウェア及びソフトウェアに関する情報調査を速やかに実施すること。,その他
2319,保守作業は、以下の作業を行うこと。,その他
2320,受注者は、厚生労働省が契約締結後に提示する手順書等にしたがって、保守作業を実施すること。,その他
2321,納入したハードウェア及びソフトウェアの開発元、販売元からサポートを確実に受けられる状態を確保し、パッチ、最新アップデートプログラム、バージョンアッププログラム及びサポート切れ情報をオンタイムで取得し、更新情報を厚生労働省に提供すること。,その他
2322,セキュリティに関する問題が確認された場合も同様とする。,その他
2323,パッチ、最新アップデートプログラム、バージョンアッププログラム及びサポート切れ情報等の更新、導入及び対応の対象は受注者が導入するすべてのハードウェア、ソフトウェアにおいて、os、ミドルウェア、ハードウェア機器のファームウェアを対象とする。,その他
2324,パッチ、最新アップデートプログラム、バージョンアッププログラム及びサポート切れ情報は、受注者が納入したハードウェア及びソフトウェアへの影響を評価すること。,その他
2325,パッチ、最新アップデートプログラム及びバージョンアッププログラムは、適用徴収システムへの影響について更改ap事業者と調整し、厚生労働省と協議の上、厚生労働省の指示に基づき受注者が検証環境でのテスト及び適用作業を行うこと。,保守性
2326,パッチ、最新アップデートプログラム及びバージョンアッププログラムの配信、適用状況については受注者が管理すること。,その他
2327,サーバ機器等におけるパッチ、最新アップデートプログラム及びバージョンアッププログラムの適用の作業実施前には、検証環境及び本番環境のバックアップを必ず取得すること。,その他
2328,システム稼働以降、受注者が納入したハードウェア及びソフトウェアに対して、新たにハードウェア及びソフトウェアパッケージ製品及び適用徴収システムのアプリケーションモジュール等を含むを追加、導入する必要が生じた場合、厚生労働省と協議の上、厚生労働省から提供された当該品を対象のハードウェアにインストール及び設定すること。,その他
2329,インストール及び設定に当たっては、機器設定手順書、設定確認報告書及び設定定義書を作成し、検証環境にて影響調査を行った上で実施すること。,保守性
2330,厚生労働省の依頼に基づき、検証環境及び本番環境の変化外的要因による変化を含むへのアプリケーション変更に伴う対応や性能改善を目的として、ハードウェア及びソフトウェアのパラメータ機器パラメータの見直し、設定変更及び動作確認を行うこと。,移植性
2331,機器パラメータの変更に当たっては、次期システム関連事業者のアプリケーションの改修やプログラムのパラメータの変更に伴い提供される設定情報インフラストラクチャ詳細設計書等に従い設定定義書及び機器設定手順書、設定確認報告書の作成を行うこと。,その他
2332,また、動作確認試験により事前に正常に動作するか確認すること。,その他
2333,導入したハードウェア、ソフトウェア内でウイルス感染が検知された場合は、速やかにその除去及び被害の復旧を主体的に行うこと。,保守性
2334,ウイルス感染時にはインシデント対応と同様に対応すること。,その他
2335,受注者は、納入した機器について、予防保全を前提とした保守、交換部品の準備、定期メンテナンスを含む定期点検機器環境の点検、稼働状況の点検等を年0回以上行うこと。,その他
2336,受注者は、設置した機器について、メンテナンス時、電気設備の法定点検時及び厚生労働省からの要請に応じて、サーバの起動、停止を実施すること。,その他
2337,適用徴収システム及びrsシステムの情報システム化の範囲については別紙0に示す応札者参加表明事業者に開示する資料を参照すること。,その他
2338,なお、本調達において改修対象とする範囲は別紙0を参照すること。,その他
2339,本調達の作業範囲は、「0情報システムの要件」に示す現行システム及び次期システムの改修に係る作業である。,その他
2340,画面及び帳票についての本業務の対応範囲は「0機能要件」に準じるものとする。,その他
2341,本仕様書の改修範囲である外部システムとの連携データを以下表0-0に示す。,その他
2342,なお、外部インタフェース仕様の詳細は別紙0応札者参加表明事業者に開示する資料のうち、主に「適用徴収システム関係資料rsシステム除く-基本設計書-外部インタフェース仕様書」を参照すること。,その他
2343,本改修では、「電子政府の総合窓口システム」以下「e-govシステム」という。の様式の変更を行い、e-govシステム保守環境、一般向けアプリケーション開発事業者に提供するテスト検証環境へのアップロード作業を行うものとする。,その他
2344,なお、設計を進める中で本調達に係るインタフェース仕様書等の変更が発生した場合は、変更されたインタフェース仕様書に従い、必要に応じて改修を行うものとする。,保守性
2345,ユーザインタフェース要件等、個別に定義していない要件については、現行システム及び次期システムの要件に合わせるものとする。,その他
2346,本調達は現在稼働中である適用徴収システムの機能に改修を加えるものであるため、改修された機能を動作させた場合、現状と比較し、大幅な遅延を来さないことを受注者は保証すること。,その他
2347,適用徴収システム及びrsシステムにおけるソフトウェア規模を以下表0-0に示す。,性能効率性
2348,適用徴収システムにおける主なos、ミドルウェア、使用言語等の一部を以下表0-0に示す。,その他
2349,なお、表0-0で示したos、ミドルウェア、使用言語等の詳細なバージョン、その他のミドルウェア等については、別紙0に示す応札者参加表明事業者に開示する資料を参照すること。,その他
2350,応答時間について、以下表0-0に示す。,性能効率性
2351,詳細は別紙0に示す応札者参加表明事業者に開示する資料を参照すること。,その他
2352,一連の処理又はリクエストを発行してからレスポンス画面表示が返るまで、0.0秒以内。年度更新審査業務に関する処理のみ0.0秒以内。,性能効率性
2353,一連の処理又はリクエストを発行してからレスポンス画面表示が返るまで、0秒以内。,性能効率性
2354,左記は、0回の一連の処理又はリクエストを発行してからレスポンス画面表示が返るまでの時間とする。,その他
2355,業務終了時からバックアップ処理開始時までの間に処理が完了すること。,性能効率性
2356,なお、適用徴収システム及びrsシステムにおいて課されている信頼性等に関する要件は以下のとおりである。,信頼性
2357,加えて、受注者がアプリケーション改修等を実施する機能についても以下の要件を満たすこと。,その他
2358,本調達は現在稼働中であるシステムの機能に改修を加えるものであるため、改修機能を動作させた際、システムにデータ欠損、ネットワーク障害等、システム利用者に不利益をもたらす障害を発生させないことを受注者は保証すること。,その他
2359,障害発生時にシステム全体が停止しないシステム設計にすること。,信頼性
2360,システムで対処する対策と運用で対処する対策を明確にし、運用で対処するものについては、必要に応じて、現行システム及び次期システムのアプリケーション保守事業者、システム運用事業者及び関連事業者今後調達予定を含むにその内容を引き継ぐこと。,その他
2361,バックアップ及びリストアを可能とし、安全性を確保することができること。,信頼性
2362,システムで管理する情報について、破壊や改ざん、消去されないアクセス制御機能を維持すること。,セキュリティ
2363,システムに関する適切なアクセス管理を組み込むことによって、権限のない者のアクセスを防止する機能を維持すること。,セキュリティ
2364,本調達に係る改修後のシステムにおいても、改修前のシステムと同等の拡張性を有するよう設計、改修を実施すること。,移植性
2365,アプリケーション稼働環境として導入しているソフトウェアについて、開発元事業者等から提供される後継ソフトウェア等の情報を収集し、本調達の対象である改修部分については上位互換性を考慮し、開発を行うこと。,移植性
2366,本調達の対象である改修部分に関しては、既に適用徴収システム及びrsシステムで利用している製品及び技術を除き、新たな特定製品、技術に依存しないよう開発するものとし、他事業者による保守や拡張を可能とすること。,保守性
2367,労働保険適用徴収システム緊急時対応計画に従い、災害発生時の対応体制及び対応内容を予め定めること。,その他
2368,災害発生時には、予め定めた体制にて対応すること。,その他
2369,厚生労働省が提供する資料、ハードウェア、ソフトウェア、データ及び施設等を利用する際、「厚生労働省情報セキュリティポリシー」「政府機関の情報セキュリティ対策のための統一管理基準」及び「政府機関の情報セキュリティ対策のための統一技術基準」に準拠。,その他
2370,及び「労働保険適用徴収システム情報セキュリティ対策実施手順」等を遵守し、万全の情報セキュリティ対策を実施すること。,その他
2371,また、遵守に当たっては常に最新版を対象とすること。,その他
2372,なお、「厚生労働省情報セキュリティポリシー」及び「労働保険適用徴収システム情報セキュリティ対策実施手順」は非公表であることから、受注者に対しては契約締結後に開示する。,その他
2373,「厚生労働省情報セキュリティポリシー」及び「労働保険適用徴収システム情報セキュリティ対策実施手順」等に準拠した必要な対策を定めた機密保持管理計画書プロジェクト実施計画書に含む。を作成すること。,その他
2374,また、万一、セキュリティ事故が発生した場合に備え、緊急時の対処方法についても、機密保持管理計画書に含めること。,その他
2375,「厚生労働省情報セキュリティポリシー」等の規約、基準の見直しが行われた場合は、その内容に準拠すること。,保守性
2376,本調達に係る業務において発生し得るセキュリティリスクについて、受注者において対策を実施すること。,その他
2377,本調達に係る業務の実施のために厚生労働省が提供する情報その他当該業務実施において知り得た情報については、その秘密を保持し、また、当該業務の目的以外に利用しないこと。,その他
2378,受注者は、受注者の組織全体のセキュリティを確保するとともに、厚生労働省から求められた当該業務の実施において情報セキュリティを確保するための体制を整備すること。,その他
2379,本調達に係る業務の遂行における情報セキュリティ対策の履行状況を確認するため、厚生労働省が情報セキュリティ監査の実施を必要と判断した場合は、厚生労働省がその実施内容を定めて、情報セキュリティ監査を行う厚生労働省が選定した事業者による監査を含む。。,その他
2380,本調達に係る業務の遂行において、受注者における情報セキュリティ対策の履行が不十分であると認められる場合には、受注者は、厚生労働省の求めに応じ、厚生労働省と協議を行い、合意した対応を実施すること。,その他
2381,適用徴収システム及びrsシステムの全体構成を図0-0に示す。,その他
2382,ハードウェア構成、ソフトウェア構成及びネットワーク環境等詳細については、別紙0に示す応札者参加表明事業者に開示する資料を参照すること。,その他
2383,図0-0は現行システムの構成である。契約期間中において、平成0年0月にハードウェア構成及びソフトウェア構成の更改を予定しているため、システム構成は変更の可能性がある。,その他
2384,なお、テーブル追加、変更、削除により初期データが必要な場合は、受注者はデータ作成及び移行のための手順及びツール等を整備し、関連事業者今後調達予定を含むの移行作業を支援すること。,その他
2385,なお、当該移行作業を受注者が実施する場合もある。,その他
2386,受注者は現行システム及び次期システムに係るシステム運用業務は実施しないが、システム運用管理者及び担当者の運用に変更が生じる場合、受注者が運用ドキュメントの修正を行うこと。,その他
2387,受注者は現行システム及び次期システムに係るアプリケーション保守業務は実施しないが、現行システム及び次期システムのアプリケーション保守事業者へ改修した最新版の設計書、プログラム以下「資材」という。を引き渡すこと。,その他
2388,なお、その際の引継ぎは、引継ぎ資料教育ドキュメントに含むを作成した上で、対面にて行い、アプリケーション保守事業者の了承をもって完了とする。,その他
2389,プロジェクトの遂行に影響を与えるリスクを識別し、その発生要因、発生確率、影響度等を整理すること。,その他
2390,また、定期的にリスクを監視、評価し、その結果を反映させること。,その他
2391,本仕様書に基づき、要件の調査、分析を行い、業務要件業務フロー等を明確にした上で、システム化の範囲、システムの設計、構築等のシステム要件を記述した要件定義書確定版を作成すること。,その他
2392,詳細設計書に基づき、プログラムをコーディングすること。,その他
2393,また、設定ファイル等の変更が必要な場合は、必要な修正を行うこと。,その他
2394,また、テストの一環として、プログラムの性能測定ジョブの処理時間等の測定を含むを実施することとする。,その他
2395,なお、性能測定の結果、規定の時間内に処理が完了しない場合には、運用設計を見直すものとする。,その他
2396,また、適用徴収システムと、社会保険オンラインシステムの社会保険適用情報及び法務省登記情報システムの法務省登記データとの連携、授受及びデータ処理が確実に完了することを確認すること。,その他
2397,導入に当たり、システム停止の有無、日程、事前のデータバックアップ作業の有無等は厚生労働省及びアプリケーション保守事業者が協議の上、決定する。,その他
2398,特に適用徴収システムと、社会保険オンラインシステムの社会保険適用情報及び法務省登記情報システムの法務省登記データの連携、授受及びデータ処理に関する外部連携先との受入テストは十分、留意した上で支援を実施すること。,その他
2399,不具合対応等を目的として、資材提供後にアプリケーション保守事業者により資材が改版された場合には、アプリケーション保守事業者から提供される改版された資材に基づき、受注者が改修中の資材に対して改版された内容を反映すること。,その他
2400,なお、資材の改版は不定期に行われるため、反映時期については、厚生労働省の担当者及びアプリケーション保守事業者と協議の上、可及的速やかに実施すること。,その他
2401,また、並行して実施する他事業者による改修において、本改修の対象資材に変更が加えられることが判明した場合には、当該事業者と変更内容等の情報共有を行い、両機能をリリースした際に不具合が発生しないよう調整すること。,互換性
2402,本調達に基づく作業の実施中はもとより作業の実施後も、本調達で開発するシステムの構造、ハードウェア及びソフトウェアで新たに開発された技術、知識及びその他本契約を履行する上で知り得た厚生労働省に係る情報を第三者に開示、又は漏洩しないこと。,その他
2403,また、そのために必要な措置を講ずること。,その他
2404,民法、刑法、著作権法、不正アクセス禁止法等の関連法規を遵守することはもとより、下記の規程を遵守すること。厚生労働省情報セキュリティポリシーイ行政機関の保有する個人情報の保護に関する法律,その他
2405,本対応を行う上では、現行システムのシステム運用、保守統括者、支援事業者及び次期システムのシステム運用、保守統括者、支援事業者との調整を十分に行い、システムの運用、保守に支障を来さないようにすること。,その他
2406,ただし、やむを得ず影響を与えざるを得ない場合は、職業安定局と協議の上、その指示に従うこと。,その他
2407,また、影響を与えないための対策について、その根拠を示した上で具体的に提案すること。,その他
2408,移行において障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
2409,受託者は、リリース後契約期間内については、オンサイトにて重点監視を行うこと。,その他
2410,本調達における契約終了後は、別途調達する運用事業者ヘルプデスクを含むが引き継いで作業を実施することとなるため、運用引継ぎ計画書を作成し、職業安定局の承認を得ること。,その他
2411,既存の運用手順書、事務処理要領、その他運用関連ドキュメントの更新、必要に応じた新規ドキュメントの作成等、本調達により変更されたアプリケーションプログラムの運用に必要となる文書を整備すること。,保守性
2412,文書の整備に当たっては、標準管理要領に従い、不整合の発生防止等、品質の向上に努めること。,その他
2413,なお、文書の整備については、職業安定局の承認を経て確定するものとする。,その他
2414,引継ぎ作業については、本情報システムの運用に空白期間を生じさせないように運用事業者の承認を得て完了させ、結果を運用引継ぎ結果報告書として職業安定局に報告し、承認を得ること。,その他
2415,引継ぎ完了直後から、運用事業者によるヘルプデスクが問合せに対応できるよう留意すること。,その他
2416,契約期間内に引継ぎが完了しない場合は、受託者の責任と負担において引継ぎ完了まで継続して実施すること。,その他
2417,本調達における契約終了後は、別途調達するソフトウェア保守事業者が引き継いで作業を実施することとなるため、保守引継ぎ計画書を作成し、職業安定局の承認を得ること。,その他
2418,本調達により変更されたアプリケーションプログラムの保守に必要となる文書を整備すること。,保守性
2419,文書の整備に当たっては、標準管理要領に従い、不整合の発生防止等、品質の向上に努めること。,その他
2420,なお、文書の整備については、職業安定局の承認を得て確定するものとする。,その他
2421,引継ぎ作業については、本情報システムの安定稼働に影響を及ぼさないように0ソフトウェア保守事業者の承認を得て完了させ、結果を保守引継ぎ結果報告書として職業安定局に報告し、承認を得ること。,その他
2422,保守対象となるソフトウェア資源、ソフトウェアドキュメント等の一覧を、ソフトウェア保守事業者に提示すること。,その他
2423,ソフトウェア保守作業に係わる留意事項等もソフトウェア保守事業者に引き継ぐこと。,その他
2424,契約期間内に引継ぎが完了しない場合は、受託者の責任と負担において引継ぎ完了まで継続して実施すること。,その他
2425,受託者は、稼働後から本調達に係る契約満了までの期間において、運用事業者及びソフトウェア保守事業者からの問合せに対応すること。,その他
2426,受託者が変更したアプリケーションプログラムに係る障害が発生した場合、しかるべき要員が、0時間0日運用組織から障害発生に係る連絡を直接受け付けることが可能なこと。,その他
2427,また障害受付時の体制、内部連絡方法、関連事業者連絡方法特に運用事業者との連絡方法を具体的に提示すること。,その他
2428,受託者は、運用組織が行う障害の一次切分けの支援として、障害状況の調査、ソフトウェアの情報提供、対策会議への出席等を運用組織からの指示に従い、速やかに行うこと。,その他
2429,運用組織又はソフトウェア保守事業者は一次切分けの後、事象の緊急性や重要性を勘案した上で本調達の受託者に対しオンサイト対応を要請することがある。,その他
2430,受託者は、障害について、運用組織からの連絡を受けた時から0時間以内を目標に、運用組織と協議の上で決定した期間内に本対処又は暫定対処を実施すること。,その他
2431,なお、「暫定対処」とは、障害からの完全な復旧を迅速に行うことが困難な場合、業務に支障がないと職業安定局が認める状態まで復旧させる一時的な措置を指す。,その他
2432,受託者は、障害内容、発生原因、対策内容等を記述した「障害報告書」を作成し、運用組織への報告を行うこと。,その他
2433,障害報告で報告する項目については、設計、開発実施計画書の中でフォーマットを定め、職業安定局の承認を得ること。,その他
2434,なお、障害発生時の情報としてログ等がある場合は、「障害報告書」と併せて提出すること。,その他
2435,なお、業務への影響度や緊急性の高い障害については、運用組織からの連絡を受けてから0時間以内に報告すること。,その他
2436,ただし、0時間以内の報告が困難な場合は、運用組織と協議の上、定めた期日までに報告すること。,その他
2437,その他の障害については、運用組織と協議の上、定めた期日までに報告すること。,その他
2438,受託者は、本調達のために負担した機器の撤去、搬出、職業安定局の貸与した作業場所の原状回復及び物品の返却を行うこと。,その他
2439,これらの不備により、運用事業者及びソフトウェア保守事業者の役務に支障をもたらさないこと。,その他
2440,受託者は、職業安定局、運用事業者等が本調達により実装される機能を利用する際の操作方法や運用方法等を記載したマニュアル及び事務処理要領を更新し、職業安定局の承認を得ること。,その他
2441,受託者の作業に当たっては、マニュアルの記載内容等について、職業安定局と十分な調整を行った上で作成することを要件とする。,その他
2442,受託者は、職業安定局及び運用事業者が実施する受入テストに対して次の支援を行うこと。,その他
2443,受入テスト実施計画書案の作成。,その他
2444,受入テスト実施手順書の案の作成。,その他
2445,受入テストデータ案の作成。,その他
2446,受入テストシナリオ案の作成。,その他
2447,受入テスト結果証跡の収集、整理。,その他
2448,また、受託者は、上記の作業に伴って必要な作業を実施すること。,その他
2449,受託者の作業に当たっては、下記の要件を満たすこと。,その他
2450,受入テスト実施計画書案、受入テスト実施手順書案、受入テストデータ案、受入テストシナリオ案の作成に当たっては、職業安定局と十分な調整を行うこと。,その他
2451,受託者は、受入テスト支援に係る作業の実施に当たって、他事業者との調整等が必要な場合には、職業安定局の指示の下、運用事業者、関連事業者等と協力して、受託者が主導的に作業を進めること。,その他
2452,受入テストにおいて障害等が発生した場合には、受託者は、ソフトウェア保守事業者等関連事業者と協力して、受託者が主導的に原因究明、対応策検討、対応策実施を行うこと。,その他
2453,受託者は、ソフトウェア保守事業者、運用事業者等と協力して、本情報システムのアプリケーションプログラム等を本番環境に導入すること。,その他
2454,受託者の作業に当たっては、あらかじめソフトウェア保守事業者、運用事業者等と調整の上、移行実施計画書を作成し、職業安定局の承認を得ること。,その他
2455,受託者は、ソフトウェア保守事業者、運用事業者等と調整の上、移行実施計画書に基づいて移行実施要領、移行実施手順書を作成し、職業安定局の承認を得ること。,その他
2456,移行の実施後、受託者は、ソフトウェア保守事業者、運用事業者等と協力して、移行されたアプリケーションプログラム等の検証を行い、結果を移行結果報告書として取りまとめ、職業安定局に報告の上、検証完了の承認を得ること。,その他
2457,受託者の作業に当たっては、下記の要件を満たすこと。,その他
2458,移行実施計画書には、移行時の障害発生等による切り戻し作業等、緊急時や不測の事態が発生した場合の対応策を含めること。,その他
2459,受託者は、移行の準備として、業務、システムの特性に応じて最適な回数を決定した上で移行リハーサルを実施し、移行及び切戻しに係る手順、時間等の実現性、役割分担や連絡体制の妥当性、移行ツールの品質を検証するとともに、移行データの正しさの確認等を行うこと。,その他
2460,また、不測の事態に備えて、コンティンジェンシープランを策定し、業務継続性を確保すること。,信頼性
2461,受託者は、ソフトウェア保守事業者、運用事業者等と協力して、移行作業のリハーサルを実施すること。,その他
2462,また、リハーサルにおいては可能な限り本番移行と同様の環境、手順を準備し実施すること。,その他
2463,またリハーサル実施結果から移行スケジュールを検証して職業安定局に報告し承認を得ること。,その他
2464,受託者は、必要に応じて移行ツールを作成すること。,その他
2465,移行ツールを作成する場合には、結合テスト、総合テストと並行して移行ツールに関するテスト等を行い、受入テスト後速やかに移行作業に取りかかれるよう作業を行うこと。,その他
2466,移行作業を進めるに当たっては、本作業と並行して障害対応及びその他の変更管理案件等の実施が想定されており、ドキュメントやアプリケーションプログラムの変更が随時発生していることに留意し、関連事業者と十分に調整した上で、関連作業全体の移行実施計画書を作成すること。,その他
2467,受託者は、移行実施手順書の作成において、安全に移行するという観点から、整合性、妥当性、確実性に配慮して作成を行うこと。,その他
2468,受託者は、移行リハーサルにおいて本番データを利用することが職業安定局から承認された場合は、プロジェクトの定める要領に従って、職業安定局へ借用を申し出ること。,その他
2469,また、その取扱いについても、所定の要領に従い適切に取り扱うこと。,その他
2470,受託者は、ソフトウェア保守事業者、運用事業者等と調整の上、必要に応じて開発対象に係る設定変更や構成変更を行い、本番環境への導入を実施すること。,その他
2471,受託者は、本調達の改修により、セキュリティに関するテストが必要となる場合は、総合テストにおいてサーバのポートスキャンの実施を含めた、インターネットからのセキュリティ要件に関するテストアタックテスト等を実施すること。,その他
2472,また、テストの結果において、セキュリティ脆弱性が発覚した場合は、対策についても実施すること。,その他
2473,受託者は、実施内容について職業安定局の承認を得ること。,その他
2474,受託者は、構築する本情報システムが耐えられる負荷を測定し、本情報システムの信頼性及び耐用範囲を明確にするため、負荷テストを実施すること。,その他
2475,結合テストに必要な環境は受託者の負担で準備、設置すること。,その他
2476,その際、改修対象のプログラムが本情報システムのインフラ基盤と整合性を図るよう留意すること。,その他
2477,また、改修対象以外の機能との連携が発生する場合は、必要に応じて当該機能の環境についても構築し、テストに不足を生じさせないよう留意すること。,その他
2478,また、瑕疵担保期間においても障害対応の実施のため、構築したテスト環境を保持し続けること。,その他
2479,受託者は、総合テスト実施計画書を作成し、職業安定局の承認を得ること。,その他
2480,また、総合テスト実施計画書に基づき、総合テスト実施手順書を作成し、職業安定局の承認を得ること。,その他
2481,受託者は、総合テスト実施手順書に基づいて、総合テストを実施し、品質を検証すること。,その他
2482,総合テストにおいては、性能、信頼性、運用性、セキュリティ等、本情報システム全体の検証を実施すること。,その他
2483,総合テストの結果については、総合テスト結果報告書として職業安定局に報告し、承認を得ること。,その他
2484,また、受託者は、上記の作業に伴って必要な作業を実施すること。,その他
2485,受託者の作業に当たっては、下記の要件を満たすこと。,その他
2486,受託者は、総合テストに係る作業の実施に当たって、他事業者との調整等が必要な場合には、職業安定局の指示の下、運用事業者、関連事業者等と協力して、受託者が主導的に作業を進めること。,その他
2487,受託者は職業安定局の要請に基づき、必要に応じてテスト結果の証跡を職業安定局に提出すること。,その他
2488,テストデータは、テスト観点に応じて、疑似データ又は本番データのいずれか適切な方を選択して用いること。,その他
2489,疑似データを用いる場合は、受託者が作成すること。,その他
2490,受託者は、総合テスト実施計画書において本番データをテストデータとして利用することが承認された場合は、プロジェクトの定める要領に従って、職業安定局へ借用を申し出ること。,その他
2491,また、その取扱いについても、所定の要領に従い適切に取り扱うこと。,その他
